,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240,240,37,99,0.374,10,33,0.303,15,23,0.652,13,34,47,26,6,6,18,24,99,0.454,0.424,0.333,0.232,22.8,72.3,45.2,70.3,5.4,10.5,14.2,100,89.6,113.1,7,21,1,2,10,1,4,8,1,4,6,8,10,2,2,4,4,20,9,1.333,1.333,0.667,2,20.3,50.1,29.7,61.1,3.7,12.7,50,32.1,267,120,GSW,99,0,1,240,240,42,92,0.457,15,35,0.429,26,32,0.813,13,44,57,24,11,7,20,22,125,0.589,0.538,0.38,0.348,27.7,77.2,54.8,57.1,10,10.6,15.9,100,113.1,89.6,10,17,1,4,7,1,7,7,1,3,9,11,5,3,2,3,3,26,32,1.5,1.5,1,2,17.1,44.5,29.8,33,7.3,7.4,43.6,40.4,300,98,BRK,125,1,2021,12/22/2020,FALSE
1,240,240,42,92,0.457,15,35,0.429,26,32,0.813,13,44,57,24,11,7,20,22,125,0.589,0.538,0.38,0.348,27.7,77.2,54.8,57.1,10,10.6,15.9,100,113.1,89.6,10,17,1,4,7,1,7,7,1,3,9,11,5,3,2,3,3,26,32,1.5,1.5,1,2,17.1,44.5,29.8,33,7.3,7.4,43.6,40.4,300,98,BRK,125,1,0,240,240,37,99,0.374,10,33,0.303,15,23,0.652,13,34,47,26,6,6,18,24,99,0.454,0.424,0.333,0.232,22.8,72.3,45.2,70.3,5.4,10.5,14.2,100,89.6,113.1,7,21,1,2,10,1,4,8,1,4,6,8,10,2,2,4,4,20,9,1.333,1.333,0.667,2,20.3,50.1,29.7,61.1,3.7,12.7,50,32.1,267,120,GSW,99,0,2021,12/22/2020,TRUE
2,240,240,44,93,0.473,14,40,0.35,14,19,0.737,11,29,40,22,10,3,16,29,116,0.572,0.548,0.43,0.204,22.9,78.4,47.1,50,9.7,5.8,13.6,100,112.1,105.3,13,26,0.8,5,8,0.667,5,5,1,4,6,6,6,2,1,5,5,33,17,0.874,0.861,0.8,0.8,18.1,38.7,16.9,24.2,4.7,4.5,20.9,40.2,154,114,LAC,116,0,1,240,240,38,81,0.469,9,29,0.31,24,31,0.774,8,37,45,22,4,2,19,20,109,0.576,0.525,0.358,0.383,21.6,77.1,52.9,57.9,3.9,3.8,16.7,100,105.3,112.1,8,17,1,3,8,0.5,5,7,1,4,11,12,8,2,1,4,5,22,14,1.042,1,1,1,16.1,39.6,24.4,47,4.3,3.9,100,35.9,166,118,LAL,109,1,2021,12/22/2020,TRUE
3,240,240,38,81,0.469,9,29,0.31,24,31,0.774,8,37,45,22,4,2,19,20,109,0.576,0.525,0.358,0.383,21.6,77.1,52.9,57.9,3.9,3.8,16.7,100,105.3,112.1,8,17,1,3,8,0.5,5,7,1,4,11,12,8,2,1,4,5,22,14,1.042,1,1,1,16.1,39.6,24.4,47,4.3,3.9,100,35.9,166,118,LAL,109,1,0,240,240,44,93,0.473,14,40,0.35,14,19,0.737,11,29,40,22,10,3,16,29,116,0.572,0.548,0.43,0.204,22.9,78.4,47.1,50,9.7,5.8,13.6,100,112.1,105.3,13,26,0.8,5,8,0.667,5,5,1,4,6,6,6,2,1,5,5,33,17,0.874,0.861,0.8,0.8,18.1,38.7,16.9,24.2,4.7,4.5,20.9,40.2,154,114,LAC,116,0,2021,12/22/2020,FALSE
4,240,240,46,90,0.511,14,35,0.4,15,18,0.833,11,41,52,19,4,6,16,20,121,0.618,0.589,0.389,0.2,28.9,80.4,58.4,41.3,4,9.8,14,100,121.1,122.1,13,26,0.75,3,8,0.75,6,8,1,2,12,14,8,2,2,7,5,35,22,1,1,1,0.667,9.3,36.5,20.9,30.8,3.5,6.1,33.3,42.3,187,130,MIL,121,0,1,240,240,48,101,0.475,18,40,0.45,8,11,0.727,10,27,37,23,8,6,6,17,122,0.576,0.564,0.396,0.109,19.6,71.1,41.6,47.9,8,10.9,5.4,100,122.1,121.1,13,28,1,6,13,1,4,4,1,4,7,8,7,2,2,2,3,33,20,1.025,1.25,0.8,1.333,22.6,26.9,19.3,22.2,3.8,7,33.3,39.2,203,126,BOS,122,1,2021,12/23/2020,FALSE
5,240,240,48,101,0.475,18,40,0.45,8,11,0.727,10,27,37,23,8,6,6,17,122,0.576,0.564,0.396,0.109,19.6,71.1,41.6,47.9,8,10.9,5.4,100,122.1,121.1,13,28,1,6,13,1,4,4,1,4,7,8,7,2,2,2,3,33,20,1.025,1.25,0.8,1.333,22.6,26.9,19.3,22.2,3.8,7,33.3,39.2,203,126,BOS,122,1,0,240,240,46,90,0.511,14,35,0.4,15,18,0.833,11,41,52,19,4,6,16,20,121,0.618,0.589,0.389,0.2,28.9,80.4,58.4,41.3,4,9.8,14,100,121.1,122.1,13,26,0.75,3,8,0.75,6,8,1,2,12,14,8,2,2,7,5,35,22,1,1,1,0.667,9.3,36.5,20.9,30.8,3.5,6.1,33.3,42.3,187,130,MIL,121,0,2021,12/23/2020,TRUE
6,240,240,43,80,0.538,14,35,0.4,24,29,0.828,8,38,46,24,6,3,21,29,124,0.668,0.625,0.438,0.363,21.6,82.6,55.4,55.8,5.8,5.8,18.5,100,119.4,100.1,10,12,0.833,5,8,1,12,14,1,3,7,7,7,2,2,4,4,37,40,1.019,1.042,1,1.167,51.2,29.3,34.2,52.8,5.1,10.2,50,36,171,108,ATL,124,0,1,240,240,36,87,0.414,8,35,0.229,24,28,0.857,8,29,37,20,10,3,15,22,104,0.524,0.46,0.402,0.322,17.4,78.4,44.6,55.6,9.6,6.7,13.1,100,100.1,119.4,9,19,0.667,4,8,0.667,5,6,1,3,6,7,7,2,1,5,5,22,6,0.938,0.889,0.667,1,13.4,27.9,15.6,33.6,4,6.4,33.8,42,159,123,CHI,104,1,2021,12/23/2020,TRUE
7,240,240,36,87,0.414,8,35,0.229,24,28,0.857,8,29,37,20,10,3,15,22,104,0.524,0.46,0.402,0.322,17.4,78.4,44.6,55.6,9.6,6.7,13.1,100,100.1,119.4,9,19,0.667,4,8,0.667,5,6,1,3,6,7,7,2,1,5,5,22,6,0.938,0.889,0.667,1,13.4,27.9,15.6,33.6,4,6.4,33.8,42,159,123,CHI,104,1,0,240,240,43,80,0.538,14,35,0.4,24,29,0.828,8,38,46,24,6,3,21,29,124,0.668,0.625,0.438,0.363,21.6,82.6,55.4,55.8,5.8,5.8,18.5,100,119.4,100.1,10,12,0.833,5,8,1,12,14,1,3,7,7,7,2,2,4,4,37,40,1.019,1.042,1,1.167,51.2,29.3,34.2,52.8,5.1,10.2,50,36,171,108,ATL,124,0,2021,12/23/2020,FALSE
8,240,240,45,90,0.5,16,44,0.364,8,15,0.533,8,24,32,29,10,4,15,17,114,0.59,0.589,0.489,0.167,16.7,70.6,39,64.4,9.8,7,13.4,100,112.3,119.2,15,23,1,10,16,0.625,2,5,1,2,5,6,10,3,1,3,5,42,6,0.848,1,0.696,1,18,32,15.9,32.5,8.5,4.4,37.5,31.8,178,128,CHO,114,0,1,240,240,46,87,0.529,14,30,0.467,15,20,0.75,10,40,50,34,12,3,18,22,121,0.632,0.609,0.345,0.23,29.4,83.3,61,73.9,11.8,6.5,15.8,100,119.2,112.3,9,18,0.857,4,8,1,6,9,1,5,11,14,8,3,2,5,4,27,14,0.935,0.9,1,0.563,21,40.4,30.1,29.4,10,6.2,33.3,100,150,122,CLE,121,1,2021,12/23/2020,FALSE
9,240,240,46,87,0.529,14,30,0.467,15,20,0.75,10,40,50,34,12,3,18,22,121,0.632,0.609,0.345,0.23,29.4,83.3,61,73.9,11.8,6.5,15.8,100,119.2,112.3,9,18,0.857,4,8,1,6,9,1,5,11,14,8,3,2,5,4,27,14,0.935,0.9,1,0.563,21,40.4,30.1,29.4,10,6.2,33.3,100,150,122,CLE,121,1,0,240,240,45,90,0.5,16,44,0.364,8,15,0.533,8,24,32,29,10,4,15,17,114,0.59,0.589,0.489,0.167,16.7,70.6,39,64.4,9.8,7,13.4,100,112.3,119.2,15,23,1,10,16,0.625,2,5,1,2,5,6,10,3,1,3,5,42,6,0.848,1,0.696,1,18,32,15.9,32.5,8.5,4.4,37.5,31.8,178,128,CHO,114,0,2021,12/23/2020,TRUE
